cos_raw_proj,cos_to_lda,cv_acc,format,k_pcs_at_layer,layer,mean_signed_hold,mean_signed_train,method,neutral,prefix,sign_correct_hold,sign_correct_train,snr_hold,snr_train
,,1.0,bare,,13,0.5700848698616028,0.8383740782737732,LDA,scenario_setups,high,24,45,1.4108847379684448,1.4386175870895386
0.9401275515556335,0.39351701736450195,,bare,,12,0.845843493938446,1.6017810106277466,MD-raw,scenario_setups,high,19,50,1.1353079080581665,2.5915751457214355
0.9401275515556335,0.3925142288208008,,bare,25,12,0.8427011370658875,1.5058784484863281,MD-projected,scenario_setups,high,22,50,1.3233373165130615,2.70654559135437
,,1.0,bare,,13,0.5700848698616028,0.8383740782737732,LDA,shaggy_dog,high,24,45,1.4108847379684448,1.4386175870895386
0.9669427871704102,0.39351701736450195,,bare,,12,0.845843493938446,1.6017810106277466,MD-raw,shaggy_dog,high,19,50,1.1353079080581665,2.5915751457214355
0.9669427871704102,0.39019328355789185,,bare,11,12,0.8396334052085876,1.548830509185791,MD-projected,shaggy_dog,high,21,50,1.226616382598877,2.6382791996002197
,,1.0,bare,,13,0.5700848698616028,0.8383740782737732,LDA,factual,high,24,45,1.4108847379684448,1.4386175870895386
0.9820433259010315,0.39351701736450195,,bare,,12,0.845843493938446,1.6017810106277466,MD-raw,factual,high,19,50,1.1353079080581665,2.5915751457214355
0.9820433259010315,0.39448732137680054,,bare,10,12,0.8435360789299011,1.5730183124542236,MD-projected,factual,high,22,50,1.2001689672470093,2.6127073764801025
,,0.9800000000000001,bare,,10,0.37174543738365173,0.6109604835510254,LDA,scenario_setups,low,23,46,1.2020738124847412,1.3475630283355713
0.9411177635192871,0.3367021977901459,,bare,,12,0.8008950352668762,1.5851188898086548,MD-raw,scenario_setups,low,19,50,1.1023197174072266,2.5427494049072266
0.9411177635192871,0.3390805721282959,,bare,25,12,0.8077651858329773,1.491783618927002,MD-projected,scenario_setups,low,22,50,1.2949355840682983,2.678156852722168
,,0.9800000000000001,bare,,10,0.37174543738365173,0.6109604835510254,LDA,shaggy_dog,low,23,46,1.2020738124847412,1.3475630283355713
0.967657744884491,0.3367021977901459,,bare,,12,0.8008950352668762,1.5851188898086548,MD-raw,shaggy_dog,low,19,50,1.1023197174072266,2.5427494049072266
0.967657744884491,0.33763495087623596,,bare,11,12,0.8041362762451172,1.5338523387908936,MD-projected,shaggy_dog,low,19,50,1.2046949863433838,2.5750207901000977
,,0.9800000000000001,bare,,10,0.37174543738365173,0.6109604835510254,LDA,factual,low,23,46,1.2020738124847412,1.3475630283355713
0.9854437112808228,0.3367021977901459,,bare,,12,0.8008950352668762,1.5851188898086548,MD-raw,factual,low,19,50,1.1023197174072266,2.5427494049072266
0.9854437112808228,0.33622124791145325,,bare,10,12,0.8025956749916077,1.5620453357696533,MD-projected,factual,low,19,50,1.1589220762252808,2.5588979721069336
,,0.9800000000000001,bare,,11,0.37318551540374756,0.6326962113380432,LDA,scenario_setups,absent,19,44,1.141126036643982,1.3090107440948486
0.3781144618988037,0.14575621485710144,,bare,,5,0.27919378876686096,0.6665123701095581,MD-raw,scenario_setups,absent,17,50,0.8355312943458557,2.4561188220977783
0.3781144618988037,0.37395769357681274,,bare,25,12,0.7677828669548035,1.5251264572143555,MD-projected,scenario_setups,absent,21,50,1.1289575099945068,2.6517019271850586
,,0.9800000000000001,bare,,11,0.37318551540374756,0.6326962113380432,LDA,shaggy_dog,absent,19,44,1.141126036643982,1.3090107440948486
0.39549723267555237,0.14575621485710144,,bare,,5,0.27919378876686096,0.6665123701095581,MD-raw,shaggy_dog,absent,17,50,0.8355312943458557,2.4561188220977783
0.39549723267555237,0.373945415019989,,bare,11,12,0.7552832961082458,1.5810325145721436,MD-projected,shaggy_dog,absent,18,50,1.0461591482162476,2.519066333770752
,,0.9800000000000001,bare,,11,0.37318551540374756,0.6326962113380432,LDA,factual,absent,19,44,1.141126036643982,1.3090107440948486
0.40538305044174194,0.14575621485710144,,bare,,5,0.27919378876686096,0.6665123701095581,MD-raw,factual,absent,17,50,0.8355312943458557,2.4561188220977783
0.40538305044174194,0.37161633372306824,,bare,10,12,0.7629170417785645,1.613253116607666,MD-projected,factual,absent,19,50,1.026203989982605,2.466956377029419
,,0.9800000000000001,bare,,12,0.4749147891998291,0.7570894360542297,LDA,scenario_setups,generic,23,45,1.4849040508270264,1.3963569402694702
0.3800863027572632,0.13444258272647858,,bare,,5,0.2717941701412201,0.6520177721977234,MD-raw,scenario_setups,generic,17,50,0.8277978897094727,2.508280038833618
0.3800863027572632,0.4852944016456604,,bare,25,12,0.7507475018501282,1.4694747924804688,MD-projected,scenario_setups,generic,21,50,1.1379512548446655,2.6765923500061035
,,0.9800000000000001,bare,,12,0.4749147891998291,0.7570894360542297,LDA,shaggy_dog,generic,23,45,1.4849040508270264,1.3963569402694702
0.3981386423110962,0.13444258272647858,,bare,,5,0.2717941701412201,0.6520177721977234,MD-raw,shaggy_dog,generic,17,50,0.8277978897094727,2.508280038833618
0.3981386423110962,0.47799408435821533,,bare,11,12,0.7430724501609802,1.5151399374008179,MD-projected,shaggy_dog,generic,19,50,1.0525379180908203,2.5647220611572266
,,0.9800000000000001,bare,,12,0.4749147891998291,0.7570894360542297,LDA,factual,generic,23,45,1.4849040508270264,1.3963569402694702
0.40813112258911133,0.13444258272647858,,bare,,5,0.2717941701412201,0.6520177721977234,MD-raw,factual,generic,17,50,0.8277978897094727,2.508280038833618
0.40813112258911133,0.4804958701133728,,bare,10,12,0.7426257133483887,1.5451667308807373,MD-projected,factual,generic,19,50,1.0238503217697144,2.5332844257354736
,,0.9800000000000001,chat,,11,0.413054496049881,0.6025309562683105,LDA,scenario_setups,high,21,44,1.28045654296875,1.354501724243164
0.9999998807907104,0.20535141229629517,,chat,,7,0.3467811346054077,0.8338263034820557,MD-raw,scenario_setups,high,19,50,0.7671025991439819,2.54118013381958
0.9999998807907104,0.20536229014396667,,chat,1,7,0.3467828333377838,0.8338260650634766,MD-projected,scenario_setups,high,19,50,0.7671265006065369,2.541243553161621
,,0.9800000000000001,chat,,11,0.413054496049881,0.6025309562683105,LDA,shaggy_dog,high,21,44,1.28045654296875,1.354501724243164
0.49541208148002625,0.20535141229629517,,chat,,7,0.3467811346054077,0.8338263034820557,MD-raw,shaggy_dog,high,19,50,0.7671025991439819,2.54118013381958
0.49541208148002625,0.3816561996936798,,chat,7,12,0.832101047039032,1.4810819625854492,MD-projected,shaggy_dog,high,19,50,1.1294324398040771,2.6500284671783447
,,0.9800000000000001,chat,,11,0.413054496049881,0.6025309562683105,LDA,factual,high,21,44,1.28045654296875,1.354501724243164
0.5021893382072449,0.20535141229629517,,chat,,7,0.3467811346054077,0.8338263034820557,MD-raw,factual,high,19,50,0.7671025991439819,2.54118013381958
0.5021893382072449,0.37440988421440125,,chat,8,12,0.8255391120910645,1.4968113899230957,MD-projected,factual,high,20,50,1.1078404188156128,2.6067278385162354
,,1.0,chat,,12,0.5207898616790771,0.7397855520248413,LDA,scenario_setups,low,24,48,1.7806808948516846,1.5140246152877808
0.3281857967376709,0.197037011384964,,chat,,7,0.35319480299949646,0.8449642062187195,MD-raw,scenario_setups,low,17,50,0.7684708833694458,2.5721538066864014
0.3281857967376709,0.21805883944034576,,chat,13,21,1.4701060056686401,2.530191421508789,MD-projected,scenario_setups,low,21,50,1.1394166946411133,2.579014301300049
,,1.0,chat,,12,0.5207898616790771,0.7397855520248413,LDA,shaggy_dog,low,24,48,1.7806808948516846,1.5140246152877808
0.48960864543914795,0.197037011384964,,chat,,7,0.35319480299949646,0.8449642062187195,MD-raw,shaggy_dog,low,17,50,0.7684708833694458,2.5721538066864014
0.48960864543914795,0.4996674060821533,,chat,7,12,0.8147758841514587,1.4544622898101807,MD-projected,shaggy_dog,low,19,50,1.2079956531524658,2.6407716274261475
